timestamp,lat,lon,alt_m,speed_kmh,heading,battery_v,sats
00:09:12.0,28.613221,77.220655,176.1,29.3,96.6,13.46,10
00:09:16.0,28.61322,77.22074,178.9,28.6,90.9,13.44,12
00:09:20.0,28.613224,77.220831,185.4,30.2,87.1,13.42,11
00:09:24.0,28.61323,77.220918,194.4,29.2,86.5,13.39,11
00:09:28.0,28.613235,77.22101,204.1,30.5,87.0,13.37,11
00:09:32.0,28.613243,77.221103,212.6,31.4,84.7,13.34,9
00:09:36.0,28.613255,77.221197,218.2,31.4,82.8,13.32,9
00:09:40.0,28.613269,77.221285,220.0,29.7,81.0,13.3,8
00:09:44.0,28.613293,77.221375,217.5,31.0,75.2,13.27,10
00:09:48.0,28.613323,77.221459,211.1,29.8,69.9,13.25,11
00:09:52.0,28.613352,77.221548,202.3,31.1,71.9,13.22,10
00:09:56.0,28.613377,77.221635,192.6,30.3,74.2,13.2,8
00:10:00.0,28.613408,77.221719,183.9,29.9,70.1,13.18,11
